league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Grece,2025,2025-08-23,Olympiakos Piraeus,Asteras Tripolis,2,0,0,2,H
Grece,2025,2025-08-23,Aris Thessalonikis,Volos NFC,2,0,0,2,H
Grece,2025,2025-08-23,Panetolikos,Atromitos,0,2,0,0,A
Grece,2025,2025-08-24,AEK Athens FC,Panserraikos,2,0,2,0,H
Grece,2025,2025-08-24,PAOK,Larisa,1,0,0,1,H
Grece,2025,2025-08-25,Levadiakos,Kifisia,3,2,2,1,H
Grece,2025,2025-08-30,Volos NFC,Olympiakos Piraeus,0,2,0,0,A
Grece,2025,2025-08-30,Panserraikos,OFI,0,1,0,0,A
Grece,2025,2025-08-30,Aris Thessalonikis,Panetolikos,0,2,0,0,A
Grece,2025,2025-08-30,Larisa,Kifisia,1,1,0,1,D
Grece,2025,2025-08-31,AEK Athens FC,Asteras Tripolis,1,0,1,0,H
Grece,2025,2025-08-31,PAOK,Atromitos,1,0,0,1,H
Grece,2025,2025-08-31,Panathinaikos,Levadiakos,1,1,1,0,D
